game_pk,game_date,away_team_id,away_team,home_team_id,home_team,away_score,home_score,home_win,away_sp_id,away_sp_name,home_sp_id,home_sp_name
823649,2026-03-26,134,PIT,121,NYM,7,11,True,694973,Paul Skenes,642547,Freddy Peralta
823812,2026-03-26,145,CWS,158,MIL,2,14,True,681343,Shane Smith,694819,Jacob Misiorowski
824704,2026-03-26,120,WSH,112,CHC,10,4,False,676917,Cade Cavalli,571510,Matthew Boyd
824865,2026-03-26,142,MIN,110,BAL,1,2,True,657746,Joe Ryan,669432,Trevor Rogers
824541,2026-03-26,111,BOS,113,CIN,3,0,False,676979,Garrett Crochet,671096,Andrew Abbott
824218,2026-03-26,108,LAA,117,HOU,3,0,False,667755,José Soriano,686613,Hunter Brown
823325,2026-03-26,116,DET,135,SD,8,2,False,669373,Tarik Skubal,601713,Nick Pivetta
823081,2026-03-26,139,TB,138,STL,7,9,True,656876,Drew Rasmussen,669461,Matthew Liberatore
823486,2026-03-26,140,TEX,143,PHI,3,5,True,543135,Nathan Eovaldi,650911,Cristopher Sánchez
823974,2026-03-26,109,AZ,119,LAD,2,8,True,668678,Zac Gallen,808967,Yoshinobu Yamamoto
823163,2026-03-26,114,CLE,136,SEA,6,4,False,676440,Tanner Bibee,669302,Logan Gilbert
823243,2026-03-27,147,NYY,137,SF,3,0,False,693645,Cam Schlittler,592662,Robbie Ray
822839,2026-03-27,133,ATH,141,TOR,2,3,True,622663,Luis Severino,592332,Kevin Gausman
823893,2026-03-27,115,COL,146,MIA,1,2,True,607536,Kyle Freeland,645261,Sandy Alcantara
824946,2026-03-27,118,KC,144,ATL,0,6,True,666142,Cole Ragans,519242,Chris Sale
824216,2026-03-27,108,LAA,117,HOU,6,2,False,579328,Yusei Kikuchi,681347,Mike Burrows
823324,2026-03-27,116,DET,135,SD,5,2,False,664285,Framber Valdez,650633,Michael King
823162,2026-03-27,114,CLE,136,SEA,1,5,True,668909,Gavin Williams,669923,George Kirby
823971,2026-03-27,109,AZ,119,LAD,4,5,True,669194,Ryne Nelson,686218,Emmet Sheehan
823082,2026-03-28,139,TB,138,STL,5,6,True,671212,Joe Boyle,700241,Michael McGreevy
824701,2026-03-28,120,WSH,112,CHC,2,10,True,571945,Miles Mikolas,690990,Cade Horton
822838,2026-03-28,133,ATH,141,TOR,7,8,True,605488,Jeffrey Springs,656302,Dylan Cease
824862,2026-03-28,142,MIN,110,BAL,4,1,False,671737,Taj Bradley,680694,Kyle Bradish
823488,2026-03-28,140,TEX,143,PHI,5,4,False,656641,Jacob Latz,605400,Aaron Nola
824540,2026-03-28,111,BOS,113,CIN,5,6,True,543243,Sonny Gray,663903,Brady Singer
823651,2026-03-28,134,PIT,121,NYM,2,4,True,656605,Mitch Keller,656849,David Peterson
823892,2026-03-28,115,COL,146,MIA,3,4,True,547179,Michael Lorenzen,691587,Eury Pérez
824213,2026-03-28,108,LAA,117,HOU,9,11,True,672282,Reid Detmers,664299,Cristian Javier
823811,2026-03-28,145,CWS,158,MIL,1,6,True,680732,Sean Burke,694477,Chad Patrick
824945,2026-03-28,118,KC,144,ATL,2,6,True,608379,Michael Wacha,625643,Reynaldo López
823241,2026-03-28,147,NYY,137,SF,3,1,False,701542,Will Warren,641816,Tyler Mahle
823323,2026-03-28,116,DET,135,SD,0,3,True,656427,Jack Flaherty,681190,Randy Vásquez
823973,2026-03-28,109,AZ,119,LAD,2,3,True,593958,Eduardo Rodriguez,607192,Tyler Glasnow
823161,2026-03-28,114,CLE,136,SEA,6,5,False,676282,Joey Cantillo,693433,Bryan Woo
824864,2026-03-29,142,MIN,110,BAL,6,8,True,641927,Bailey Ober,669358,Shane Baz
823487,2026-03-29,140,TEX,143,PHI,8,3,False,669022,MacKenzie Gore,666200,Jesús Luzardo
824944,2026-03-29,118,KC,144,ATL,4,1,False,607625,Seth Lugo,656550,Grant Holmes
822837,2026-03-29,133,ATH,141,TOR,2,5,True,806960,Luis Morales,641778,Eric Lauer
824538,2026-03-29,111,BOS,113,CIN,2,3,True,813349,Connelly Early,695076,Rhett Lowder
823647,2026-03-29,134,PIT,121,NYM,4,3,False,669387,Carmen Mlodzinski,690997,Nolan McLean
823891,2026-03-29,115,COL,146,MIA,3,4,True,500779,Jose Quintana,676974,Max Meyer
824215,2026-03-29,108,LAA,117,HOU,7,9,True,686799,Jack Kochanowicz,837227,Tatsuya Imai
823810,2026-03-29,145,CWS,158,MIL,7,9,True,641743,Anthony Kay,687075,Brandon Sproat
823079,2026-03-29,139,TB,138,STL,11,7,False,571927,Steven Matz,669160,Dustin May
824700,2026-03-29,120,WSH,112,CHC,6,3,False,663623,Jake Irvin,684007,Shota Imanaga
823160,2026-03-29,114,CLE,136,SEA,0,8,True,677944,Slade Cecconi,676106,Emerson Hancock
824135,2026-03-30,142,MIN,118,KC,1,3,True,680573,Simeon Woods Richardson,663460,Kris Bubic
824863,2026-03-30,140,TEX,110,BAL,5,2,False,683004,Jack Leiter,605135,Chris Bassitt
824539,2026-03-30,134,PIT,113,CIN,0,2,True,677952,Braxton Ashcraft,695505,Chase Burns
823484,2026-03-30,120,WSH,143,PHI,13,2,False,656492,Foster Griffin,592836,Taijuan Walker
823890,2026-03-30,145,CWS,146,MIA,9,4,False,663436,Davis Martin,663978,Chris Paddack
